ClaimNumber,DateOfLoss,DateReported,ClaimStatus,CauseOfLoss,Location,PaidIndemnity,PaidExpense,ReserveIndemnity,ReserveExpense
CLM-2024-043,2024-05-13,2024-05-14,Open,Auto Collision,Arlington,50000,9200,23000,4700
CLM-2024-044,2024-05-16,2024-05-18,Closed,Fire,New Orleans,84000,15500,0,0
CLM-2024-045,2024-05-19,2024-05-20,Open,Theft,Wichita,0,2000,15000,3000
CLM-2024-046,2024-05-22,2024-05-23,Closed,Slip & Fall,Cleveland,42000,7900,0,0
CLM-2024-047,2024-05-25,2024-05-27,Closed,Water Damage,Bakersfield,30000,5900,0,0
CLM-2024-048,2024-05-28,2024-05-29,Open,Auto Collision,Anaheim,47000,8700,20000,4100
CLM-2024-049,2024-06-01,2024-06-03,Closed,Fire,Honolulu,79000,14800,0,0
CLM-2024-050,2024-06-04,2024-06-05,Open,Theft,Aurora,0,1800,12000,2400
CLM-2024-051,2024-06-07,2024-06-08,Closed,Slip & Fall,Santa Ana,45000,8400,0,0
CLM-2024-052,2024-06-10,2024-06-12,Closed,Water Damage,Corpus Christi,32000,6100,0,0
CLM-2024-053,2024-06-13,2024-06-14,Open,Auto Collision,Riverside,43000,7900,17000,3700
CLM-2024-054,2024-06-16,2024-06-18,Closed,Fire,Lexington,87000,16200,0,0
CLM-2024-055,2024-06-19,2024-06-20,Open,Theft,Stockton,0,1900,14000,2700
CLM-2024-056,2024-06-22,2024-06-23,Closed,Slip & Fall,St. Paul,48000,9000,0,0
CLM-2024-057,2024-06-25,2024-06-27,Closed,Water Damage,Cincinnati,34000,6400,0,0
CLM-2024-058,2024-06-28,2024-06-29,Open,Auto Collision,Pittsburgh,49000,9100,22000,4500
CLM-2024-059,2024-07-01,2024-07-03,Closed,Fire,Greensboro,73000,13800,0,0
CLM-2024-060,2024-07-04,2024-07-05,Open,Theft,Anchorage,0,2100,16000,3100
CLM-2024-061,2024-07-07,2024-07-08,Closed,Slip & Fall,Plano,44000,8300,0,0
CLM-2024-062,2024-07-10,2024-07-12,Closed,Water Damage,Lincoln,31000,6000,0,0
CLM-2024-063,2024-07-13,2024-07-14,Open,Auto Collision,Orlando,45000,8400,19000,3900
CLM-2024-064,2024-07-16,2024-07-18,Closed,Fire,Irvine,90000,16800,0,0
CLM-2024-065,2024-07-19,2024-07-20,Open,Theft,Newark,0,1700,13000,2500
CLM-2024-066,2024-07-22,2024-07-23,Closed,Slip & Fall,Toledo,41000,7700,0,0
CLM-2024-067,2024-07-25,2024-07-27,Closed,Water Damage,Durham,36000,6900,0,0
CLM-2024-068,2024-07-28,2024-07-29,Open,Auto Collision,Chula Vista,52000,9600,25000,5200
CLM-2024-069,2024-08-01,2024-08-03,Closed,Fire,Fort Wayne,77000,14300,0,0
CLM-2024-070,2024-08-04,2024-08-05,Open,Theft,St. Petersburg,0,2000,15000,2900
CLM-2024-071,2024-08-07,2024-08-08,Closed,Slip & Fall,Jersey City,46000,8700,0,0
CLM-2024-072,2024-08-10,2024-08-12,Closed,Water Damage,Laredo,33000,6200,0,0
CLM-2024-073,2024-08-13,2024-08-14,Open,Auto Collision,Buffalo,48000,8900,21000,4400
CLM-2024-074,2024-08-16,2024-08-18,Closed,Fire,Madison,85000,15800,0,0
CLM-2024-075,2024-08-19,2024-08-20,Open,Theft,Lubbock,0,1800,12000,2300
CLM-2024-076,2024-08-22,2024-08-23,Closed,Slip & Fall,Chandler,43000,8100,0,0
CLM-2024-077,2024-08-25,2024-08-27,Closed,Water Damage,Scottsdale,35000,6600,0,0
CLM-2024-078,2024-08-28,2024-08-29,Open,Auto Collision,Reno,47000,8800,20000,4200
CLM-2024-079,2024-09-01,2024-09-03,Closed,Fire,Glendale,82000,15200,0,0
CLM-2024-080,2024-09-04,2024-09-05,Open,Theft,Norfolk,0,1900,14000,2800
CLM-2024-081,2024-09-07,2024-09-08,Closed,Slip & Fall,Winston-Salem,45000,8500,0,0
CLM-2024-082,2024-09-10,2024-09-12,Closed,Water Damage,North Las Vegas,32000,6100,0,0
CLM-2024-083,2024-09-13,2024-09-14,Open,Auto Collision,Irving,44000,8200,18000,3800
CLM-2024-084,2024-09-16,2024-09-18,Closed,Fire,Chesapeake,88000,16500,0,0
CLM-2024-085,2024-09-19,2024-09-20,Open,Theft,Gilbert,0,2100,16000,3200
CLM-2024-086,2024-09-22,2024-09-23,Closed,Slip & Fall,Hialeah,47000,8900,0,0
CLM-2024-087,2024-09-25,2024-09-27,Closed,Water Damage,Garland,34000,6500,0,0
CLM-2024-088,2024-09-28,2024-09-29,Open,Auto Collision,Boise,51000,9400,24000,4900
CLM-2024-089,2024-10-01,2024-10-03,Closed,Fire,Baton Rouge,75000,14100,0,0
CLM-2024-090,2024-10-04,2024-10-05,Open,Theft,Spokane,0,1700,11000,2200
CLM-2024-091,2024-10-07,2024-10-08,Closed,Slip & Fall,Des Moines,42000,7900,0,0
CLM-2024-092,2024-10-10,2024-10-12,Closed,Water Damage,Tacoma,37000,7100,0,0
CLM-2024-093,2024-10-13,2024-10-14,Open,Auto Collision,San Bernardino,46000,8600,19000,4000
CLM-2024-094,2024-10-16,2024-10-18,Closed,Fire,Modesto,91000,17000,0,0
CLM-2024-095,2024-10-19,2024-10-20,Open,Theft,Fontana,0,2000,15000,3000
CLM-2024-096,2024-10-22,2024-10-23,Closed,Slip & Fall,Santa Clarita,48000,9100,0,0
CLM-2024-097,2024-10-25,2024-10-27,Closed,Water Damage,Birmingham,31000,5900,0,0
CLM-2024-098,2024-10-28,2024-10-29,Open,Auto Collision,Oxnard,49000,9200,23000,4600
CLM-2024-099,2024-11-01,2024-11-02,Closed,Fire,Fayetteville,78000,14600,0,0
CLM-2024-100,2024-11-03,2024-11-04,Open,Theft,Moreno Valley,0,1800,13000,2600
CLM-2024-101,2024-01-06,2024-01-08,Closed,Water Damage,New York,38000,7200,0,0
CLM-2024-102,2024-01-09,2024-01-11,Open,Auto Collision,Chicago,41000,7700,17000,3600
CLM-2024-103,2024-01-13,2024-01-14,Closed,Slip & Fall,Miami,51000,9600,0,0
CLM-2024-104,2024-01-16,2024-01-18,Closed,Fire,Los Angeles,86000,16000,0,0
CLM-2024-105,2024-01-19,2024-01-20,Open,Theft,Houston,0,1900,14000,2700
CLM-2024-106,2024-01-23,2024-01-24,Closed,Water Damage,Phoenix,33000,6300,0,0
CLM-2024-107,2024-01-26,2024-01-28,Closed,Auto Collision,Philadelphia,44000,8200,0,0
CLM-2024-108,2024-01-29,2024-01-31,Open,Slip & Fall,San Antonio,0,3000,22000,4500
CLM-2024-109,2024-02-02,2024-02-03,Closed,Fire,San Diego,93000,17500,0,0
CLM-2024-110,2024-02-05,2024-02-07,Open,Theft,Dallas,0,1600,10000,2000
CLM-2024-111,2024-02-08,2024-02-09,Closed,Water Damage,San Jose,35000,6700,0,0
CLM-2024-112,2024-02-11,2024-02-13,Closed,Auto Collision,Austin,46000,8600,0,0
CLM-2024-113,2024-02-14,2024-02-15,Open,Slip & Fall,Jacksonville,0,2800,20000,4200
CLM-2024-114,2024-02-17,2024-02-19,Closed,Fire,Fort Worth,89000,16800,0,0
CLM-2024-115,2024-02-20,2024-02-21,Open,Theft,Columbus,0,1700,12000,2400
CLM-2024-116,2024-02-23,2024-02-24,Closed,Water Damage,Charlotte,36000,6900,0,0
CLM-2024-117,2024-02-26,2024-02-28,Closed,Auto Collision,Indianapolis,48000,8900,0,0
CLM-2024-118,2024-03-01,2024-03-02,Open,Slip & Fall,Seattle,0,3100,24000,4900
CLM-2024-119,2024-03-03,2024-03-05,Closed,Fire,Denver,94000,17800,0,0
CLM-2024-120,2024-03-06,2024-03-07,Open,Theft,Boston,0,2000,16000,3200
CLM-2024-121,2024-03-09,2024-03-10,Closed,Water Damage,Detroit,32000,6100,0,0
CLM-2024-122,2024-03-12,2024-03-14,Closed,Auto Collision,Nashville,45000,8400,0,0
CLM-2024-123,2024-03-15,2024-03-16,Open,Slip & Fall,Portland,0,2900,21000,4300
CLM-2024-124,2024-03-18,2024-03-20,Closed,Fire,Memphis,87000,16400,0,0
CLM-2024-125,2024-03-21,2024-03-22,Open,Theft,Baltimore,0,1800,13000,2500
CLM-2024-126,2024-03-24,2024-03-25,Closed,Water Damage,Milwaukee,34000,6500,0,0
CLM-2024-127,2024-03-27,2024-03-29,Closed,Auto Collision,Albuquerque,47000,8800,0,0
CLM-2024-128,2024-03-30,2024-03-31,Open,Slip & Fall,Las Vegas,0,3200,25000,5100
CLM-2024-129,2024-04-02,2024-04-04,Closed,Fire,Tucson,91000,17200,0,0
CLM-2024-130,2024-04-05,2024-04-06,Open,Theft,Fresno,0,1900,15000,2900
CLM-2024-131,2024-04-08,2024-04-09,Closed,Water Damage,Sacramento,37000,7000,0,0
CLM-2024-132,2024-04-11,2024-04-13,Closed,Auto Collision,Kansas City,49000,9200,0,0
CLM-2024-133,2024-04-14,2024-04-15,Open,Slip & Fall,Mesa,0,2700,19000,4000
CLM-2024-134,2024-04-17,2024-04-19,Closed,Fire,Atlanta,96000,18000,0,0
CLM-2024-135,2024-04-20,2024-04-21,Open,Theft,Omaha,0,2100,17000,3400
CLM-2024-136,2024-04-23,2024-04-24,Closed,Water Damage,Colorado Springs,31000,5900,0,0
CLM-2024-137,2024-04-26,2024-04-28,Closed,Auto Collision,Raleigh,43000,8100,0,0
CLM-2024-138,2024-04-29,2024-04-30,Open,Slip & Fall,Long Beach,0,3000,23000,4700
CLM-2024-139,2024-05-02,2024-05-04,Closed,Fire,Virginia Beach,83000,15600,0,0
CLM-2024-140,2024-05-05,2024-05-06,Open,Theft,Oakland,0,1700,11000,2200
CLM-2024-141,2024-05-08,2024-05-09,Closed,Water Damage,Minneapolis,35000,6700,0,0
CLM-2024-142,2024-05-11,2024-05-13,Closed,Auto Collision,Tampa,46000,8600,0,0
CLM-2024-143,2024-05-14,2024-05-15,Open,Slip & Fall,Arlington,0,2900,21000,4400
CLM-2024-144,2024-05-17,2024-05-19,Closed,Fire,New Orleans,88000,16700,0,0
CLM-2024-145,2024-05-20,2024-05-21,Open,Theft,Wichita,0,1800,14000,2700
CLM-2024-146,2024-05-23,2024-05-24,Closed,Water Damage,Cleveland,33000,6300,0,0
CLM-2024-147,2024-05-26,2024-05-28,Closed,Auto Collision,Bakersfield,48000,8900,0,0
CLM-2024-148,2024-05-29,2024-05-30,Open,Slip & Fall,Anaheim,0,3100,24000,4900
CLM-2024-149,2024-06-02,2024-06-04,Closed,Fire,Honolulu,92000,17400,0,0
CLM-2024-150,2024-06-05,2024-06-06,Open,Theft,Aurora,0,2000,16000,3100
CLM-2024-151,2024-06-08,2024-06-09,Closed,Water Damage,Santa Ana,36000,6900,0,0
CLM-2024-152,2024-06-11,2024-06-13,Closed,Auto Collision,Corpus Christi,44000,8200,0,0
CLM-2024-153,2024-06-14,2024-06-15,Open,Slip & Fall,Riverside,0,2800,20000,4200
CLM-2024-154,2024-06-17,2024-06-19,Closed,Fire,Lexington,95000,18000,0,0
CLM-2024-155,2024-06-20,2024-06-21,Open,Theft,Stockton,0,1900,15000,2900
CLM-2024-156,2024-06-23,2024-06-24,Closed,Water Damage,St. Paul,34000,6500,0,0
CLM-2024-157,2024-06-26,2024-06-28,Closed,Auto Collision,Cincinnati,47000,8800,0,0
CLM-2024-158,2024-06-29,2024-06-30,Open,Slip & Fall,Pittsburgh,0,3000,22000,4500
CLM-2024-159,2024-07-02,2024-07-04,Closed,Fire,Greensboro,86000,16200,0,0
CLM-2024-160,2024-07-05,2024-07-06,Open,Theft,Anchorage,0,1700,12000,2400
CLM-2024-161,2024-07-08,2024-07-09,Closed,Water Damage,Plano,38000,7200,0,0
CLM-2024-162,2024-07-11,2024-07-13,Closed,Auto Collision,Lincoln,45000,8400,0,0
CLM-2024-163,2024-07-14,2024-07-15,Open,Slip & Fall,Orlando,0,2700,19000,4000
CLM-2024-164,2024-07-17,2024-07-19,Closed,Fire,Irvine,89000,16800,0,0
CLM-2024-165,2024-07-20,2024-07-21,Open,Theft,Newark,0,1800,13000,2600
CLM-2024-166,2024-07-23,2024-07-24,Closed,Water Damage,Toledo,32000,6100,0,0
CLM-2024-167,2024-07-26,2024-07-28,Closed,Auto Collision,Durham,46000,8600,0,0
CLM-2024-168,2024-07-29,2024-07-30,Open,Slip & Fall,Chula Vista,0,3100,24000,4800
CLM-2024-169,2024-08-02,2024-08-04,Closed,Fire,Fort Wayne,94000,17700,0,0
CLM-2024-170,2024-08-05,2024-08-06,Open,Theft,St. Petersburg,0,2000,16000,3200
CLM-2024-171,2024-08-08,2024-08-09,Closed,Water Damage,Jersey City,35000,6700,0,0
CLM-2024-172,2024-08-11,2024-08-13,Closed,Auto Collision,Laredo,48000,8900,0,0
CLM-2024-173,2024-08-14,2024-08-15,Open,Slip & Fall,Buffalo,0,2900,21000,4300
CLM-2024-174,2024-08-17,2024-08-19,Closed,Fire,Madison,91000,17200,0,0
CLM-2024-175,2024-08-20,2024-08-21,Open,Theft,Lubbock,0,1800,14000,2700
CLM-2024-176,2024-08-23,2024-08-24,Closed,Water Damage,Chandler,37000,7000,0,0
CLM-2024-177,2024-08-26,2024-08-28,Closed,Auto Collision,Scottsdale,49000,9100,0,0
CLM-2024-178,2024-08-29,2024-08-30,Open,Slip & Fall,Reno,0,3000,23000,4700
CLM-2024-179,2024-09-02,2024-09-04,Closed,Fire,Glendale,87000,16500,0,0
CLM-2024-180,2024-09-05,2024-09-06,Open,Theft,Norfolk,0,1900,15000,2900
CLM-2024-181,2024-09-08,2024-09-09,Closed,Water Damage,Winston-Salem,33000,6300,0,0
CLM-2024-182,2024-09-11,2024-09-13,Closed,Auto Collision,North Las Vegas,47000,8800,0,0
CLM-2024-183,2024-09-14,2024-09-15,Open,Slip & Fall,Irving,0,2800,20000,4100
CLM-2024-184,2024-09-17,2024-09-19,Closed,Fire,Chesapeake,93000,17600,0,0
CLM-2024-185,2024-09-20,2024-09-21,Open,Theft,Gilbert,0,2100,17000,3400
CLM-2024-186,2024-09-23,2024-09-24,Closed,Water Damage,Hialeah,34000,6500,0,0
CLM-2024-187,2024-09-26,2024-09-28,Closed,Auto Collision,Garland,46000,8600,0,0
CLM-2024-188,2024-09-29,2024-09-30,Open,Slip & Fall,Boise,0,3100,24000,4900
CLM-2024-189,2024-10-02,2024-10-04,Closed,Fire,Baton Rouge,90000,17000,0,0
CLM-2024-190,2024-10-05,2024-10-06,Open,Theft,Spokane,0,1700,11000,2200
CLM-2024-191,2024-10-08,2024-10-09,Closed,Water Damage,Des Moines,36000,6900,0,0
CLM-2024-192,2024-10-11,2024-10-13,Closed,Auto Collision,Tacoma,48000,8900,0,0
CLM-2024-193,2024-10-14,2024-10-15,Open,Slip & Fall,San Bernardino,0,2900,21000,4400
CLM-2024-194,2024-10-17,2024-10-19,Closed,Fire,Modesto,96000,18000,0,0
CLM-2024-195,2024-10-20,2024-10-21,Open,Theft,Fontana,0,2000,16000,3100
CLM-2024-196,2024-10-23,2024-10-24,Closed,Water Damage,Santa Clarita,35000,6700,0,0
CLM-2024-197,2024-10-26,2024-10-28,Closed,Auto Collision,Birmingham,47000,8800,0,0
CLM-2024-198,2024-10-29,2024-10-30,Open,Slip & Fall,Oxnard,0,3000,22000,4600
CLM-2024-199,2024-11-01,2024-11-03,Closed,Fire,Fayetteville,85000,16000,0,0
CLM-2024-200,2024-11-02,2024-11-03,Open,Theft,Moreno Valley,0,1800,14000,2800
